class,category,orbit,free_cost,free_gates,free_wires,free_depth,w2_frontier,w1_frontier,capped_tradeoff,constructive,fold_premium,fold_proven
0x0000,LTF,2,0,0,0,0,0g0w,0g0w,,constant,,
0x0001,LTF,32,5,1,4,1,1g4w,1g4w,,single-gate,,
0x0003,LTF,64,4,1,3,1,1g3w,1g3w,,single-gate,,
0x0006,dec:AND/OR,96,11,3,8,2,3g8w,3g8w,,shell,2,True
0x0007,LTF,192,5,1,4,1,1g4w,3g6w,,single-gate,,
0x000f,LTF,48,3,1,2,1,1g2w,1g2w,,single-gate,,
0x0016,dec:AND/OR,128,12,3,9,2,3g9w,3g9w,,shell,2,True
0x0017,LTF,128,5,1,4,1,1g4w,3g6w,,single-gate,,
0x0018,dec:AND/OR,64,12,3,9,2,3g9w,3g10w,,,2,True
0x0019,dec:AND/OR,384,11,3,8,2,3g8w,3g9w,,shell,2,True
0x001b,dec:AND/OR,384,10,3,7,2,3g7w,3g8w,,shell,2,True
0x001e,dec:AND/OR,384,12,3,9,2,3g9w,4g12w;5g11w,yes,,2,True
0x001f,LTF,384,5,1,4,1,3g6w,3g7w,,single-gate,,
0x003c,dec:AND/OR,96,10,3,7,2,3g7w,3g7w,,shell,2,True
0x003d,dec:AND/OR,384,11,3,8,2,3g8w,3g9w,,shell,2,True
0x003f,LTF,192,4,1,3,1,1g3w,3g5w,,single-gate,,
0x0069,dec:AND/OR,32,16,4,12,2,4g12w,4g12w,,,1,True
0x006b,dec:AND/OR,128,13,3,10,2,3g10w,4g10w,,,1,True
0x006f,dec:AND/OR,192,12,3,9,2,3g9w,4g9w,,,1,True
0x007e,dec:AND/OR,64,12,3,9,2,3g9w,3g10w,,,2,True
0x007f,LTF,128,5,1,4,1,3g6w,3g6w,,single-gate,,
0x00ff,LTF,8,2,1,1,1,1g1w,1g1w,,single-gate,,
0x0116,symmetric,32,13,3,10,2,3g10w,3g10w,,shell,,
0x0117,LTF,32,5,1,4,1,1g4w,1g4w,,single-gate,,
0x0118,prime:tangle,192,13,3,10,2,3g10w,4g11w,,shell,,
0x0119,prime:tangle,192,11,3,8,2,3g8w,4g10w,,,,
